@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
166,'2026/05/14 12:03:24:567',1,0.731976,0.927067,0,0.613612,0.428925,-0.073799,0.921609,0.55769,-0.088688,1,0,0
167,'2026/05/14 12:03:24:598',1,0.731856,0.924472,0,0.613886,0.431357,-0.075674,0.921783,0.558402,-0.092117,1,0,0
168,'2026/05/14 12:03:24:632',1,0.731354,0.925511,0,0.61412,0.42998,-0.073409,0.921521,0.557726,-0.090388,1,0,0
169,'2026/05/14 12:03:24:660',1,0.73198,0.924384,0,0.615107,0.428277,-0.07641,0.920928,0.557138,-0.091235,1,0,0
170,'2026/05/14 12:03:24:693',1,0.730604,0.925426,0,0.614847,0.428454,-0.079021,0.919882,0.557338,-0.093137,1,0,0
171,'2026/05/14 12:03:24:726',1,0.731387,0.924626,0,0.61424,0.428433,-0.074711,0.921696,0.557306,-0.090761,1,0,0
172,'2026/05/14 12:03:24:755',1,0.732042,0.924192,0,0.612809,0.430723,-0.074564,0.921017,0.559052,-0.090401,1,0,0
173,'2026/05/14 12:03:24:790',1,0.731476,0.924337,0,0.612742,0.431953,-0.074586,0.920542,0.557179,-0.089475,1,0,0
174,'2026/05/14 12:03:24:820',1,0.731737,0.92583,0,0.612651,0.430355,-0.07638,0.919896,0.555942,-0.091465,1,0,0
175,'2026/05/14 12:03:24:868',1,0.730527,0.925553,0,0.610272,0.430478,-0.077071,0.920557,0.558018,-0.092099,1,0,0
176,'2026/05/14 12:03:24:901',1,0.732093,0.926706,0,0.61171,0.431414,-0.07297,0.921077,0.558429,-0.090897,1,0,0
177,'2026/05/14 12:03:24:939',1,0.731838,0.925541,0,0.610917,0.43426,-0.075433,0.921108,0.5578,-0.091697,1,0,0
178,'2026/05/14 12:03:24:978',1,0.731094,0.924134,0,0.610938,0.432213,-0.076515,0.921183,0.55873,-0.092808,1,0,0
179,'2026/05/14 12:03:25:008',1,0.730902,0.927256,0,0.611655,0.430563,-0.073218,0.920133,0.557264,-0.089157,1,0,0
180,'2026/05/14 12:03:25:037',1,0.730833,0.9248,0,0.612732,0.431714,-0.077045,0.920161,0.556779,-0.09231,1,0,0
181,'2026/05/14 12:03:25:068',1,0.731978,0.926532,0,0.611558,0.433557,-0.076144,0.920289,0.557917,-0.091192,1,0,0
182,'2026/05/14 12:03:25:100',1,0.731096,0.92653,0,0.611509,0.431458,-0.07645,0.920269,0.556709,-0.090368,1,0,0
183,'2026/05/14 12:03:25:131',1,0.730269,0.925801,0,0.612102,0.429502,-0.075244,0.920646,0.557699,-0.089546,1,0,0
184,'2026/05/14 12:03:25:163',1,0.73019,0.926052,0,0.612743,0.430445,-0.073481,0.92008,0.556552,-0.089719,1,0,0
185,'2026/05/14 12:03:25:194',1,0.730351,0.926103,0,0.612319,0.429671,-0.075172,0.920511,0.556978,-0.090785,1,0,0
186,'2026/05/14 12:03:25:227',1,0.729752,0.924731,0,0.612262,0.429752,-0.075002,0.920289,0.557564,-0.089854,1,0,0
