@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 {0,1,2}

@data
997,'2026/04/25 17:23:40:286',2,0.060685,0.012407,0.002147,0.001321,0.006663,0.001578,0.000636,0.002005,0.001433,0.001511,0.001975,0.000978,1
998,'2026/04/25 17:23:40:320',2,0.062513,0.012859,0.002531,0.001429,0.006817,0.001603,0.00062,0.001971,0.001736,0.001428,0.001895,0.001029,1
999,'2026/04/25 17:23:40:354',2,0.062628,0.012845,0.002502,0.00136,0.006492,0.001672,0.000592,0.001899,0.00186,0.001441,0.001697,0.001047,1
1000,'2026/04/25 17:23:40:400',2,0.061929,0.012705,0.002568,0.001285,0.006272,0.001613,0.000643,0.001859,0.001817,0.001433,0.001696,0.000979,1
1001,'2026/04/25 17:23:40:445',2,0.058952,0.013449,0.002993,0.001216,0.006086,0.00148,0.000619,0.001842,0.001734,0.001419,0.001822,0.000889,1
1002,'2026/04/25 17:23:40:481',2,0.056213,0.014769,0.00323,0.001281,0.00613,0.001483,0.000648,0.001745,0.001562,0.001361,0.001732,0.000966,1
1003,'2026/04/25 17:23:40:512',2,0.055182,0.015251,0.002942,0.001289,0.005901,0.00147,0.000654,0.001675,0.00138,0.001242,0.001679,0.000919,1
1004,'2026/04/25 17:23:40:544',2,0.055002,0.01595,0.00254,0.001284,0.006204,0.001462,0.000641,0.001673,0.001342,0.001207,0.001894,0.001046,1
1005,'2026/04/25 17:23:40:577',2,0.054439,0.015776,0.002485,0.001349,0.006102,0.001395,0.000636,0.001661,0.001327,0.001135,0.002223,0.00094,1
1006,'2026/04/25 17:23:40:613',2,0.053862,0.014366,0.002363,0.001267,0.005546,0.001324,0.000591,0.001604,0.001394,0.001347,0.002085,0.000999,1
1007,'2026/04/25 17:23:40:647',2,0.053585,0.013573,0.002449,0.001305,0.006021,0.001316,0.000567,0.001529,0.001362,0.001502,0.001969,0.001144,1
1008,'2026/04/25 17:23:40:677',2,0.054486,0.013924,0.002436,0.001356,0.006543,0.001338,0.000559,0.001497,0.001311,0.001536,0.001901,0.001167,1
1009,'2026/04/25 17:23:40:714',2,0.054593,0.014828,0.002343,0.001285,0.006486,0.001373,0.000535,0.001479,0.001292,0.001464,0.00195,0.001178,1
1010,'2026/04/25 17:23:40:746',2,0.054433,0.015,0.00233,0.00116,0.006403,0.001362,0.000517,0.001487,0.001281,0.001447,0.001894,0.001192,1
1011,'2026/04/25 17:23:40:778',2,0.054883,0.015755,0.002428,0.001172,0.006775,0.001382,0.000571,0.001496,0.001284,0.001594,0.002286,0.001212,1
1012,'2026/04/25 17:23:40:811',2,0.054836,0.016239,0.002194,0.001118,0.006541,0.001386,0.000661,0.001619,0.001213,0.001778,0.002298,0.001198,1
1013,'2026/04/25 17:23:40:846',2,0.057009,0.01436,0.002228,0.001109,0.005854,0.00136,0.000621,0.001613,0.001206,0.001743,0.002044,0.001116,1
1014,'2026/04/25 17:23:40:878',2,0.0573,0.01337,0.002098,0.001128,0.005778,0.001257,0.000595,0.00172,0.001234,0.001644,0.001997,0.001009,1
